METHOD;ITEMCOUNT;MEAN (us);P95 (us);GEN 0;GEN 1;GEN 2;ALLOCATED (KB)
SmallAspNetCoreZeroFormatterHttpClientAsync;100;1158.2;1217.4;70.3125;0;0;223.29
SmallAspNetCoreZeroFormatterHttpWebRequest;100;579;612.3;41.9922;0;0;131.31
LargeWcfText;100;10306.5;10611.5;234.375;125;15.625;1260.97
LargeWcfWebXml;100;10125.9;10441;250;125;15.625;1265.46
LargeWcfWebJson;100;12535.9;12877.7;328.125;171.875;15.625;1415.91
LargeWcfBinary;100;6889.3;7074.8;242.1875;132.8125;15.625;1142.53
LargeWcfNetTcp;100;5469.9;5734.8;117.1875;54.6875;0;707.86
LargeWcfMsgPackCli;100;22791.3;23427.8;1718.75;562.5;0;6327.24
LargeWebApiJsonNetHttpClient;100;17566.7;18302.4;718.75;375;31.25;3107.27
LargeWebApiJsonNetHttpClientAsync;100;17516.1;18712.4;718.75;375;31.25;3104.68
LargeWebApiJsonNetHttpWebRequest;100;14204.2;14858.3;687.5;359.375;15.625;2649.91
LargeWebApiMessagePackHttpClient;100;9292.9;9652.5;562.5;296.875;31.25;2471.18
LargeWebApiMessagePackHttpClientAsync;100;9372.5;9955.7;546.875;281.25;31.25;2468.98
LargeWebApiMessagePackHttpWebRequest;100;7023.7;7238.6;539.0625;281.25;31.25;2334.58
LargeWebApiMsgPackCliHttpClient;100;26691.1;27635.9;2781.25;437.5;0;8971.83
LargeWebApiMsgPackCliHttpClientAsync;100;27301.6;28104.1;2718.75;312.5;0;8964.38
LargeWebApiMsgPackCliHttpWebRequest;100;28510.5;29251.2;2156.25;312.5;0;7012.67
LargeWebApiXmlHttpClient;100;16932.3;17843.6;687.5;343.75;31.25;2923.73
LargeWebApiXmlHttpClientAsync;100;17027.4;17928.7;718.75;375;31.25;2929.49
LargeWebApiXmlHttpWebRequest;100;12461.1;12776.3;703.125;359.375;15.625;2508.79
LargeWebApiUtf8JsonHttpClientAsync;100;13971.3;14304.9;609.375;343.75;78.125;3675.47
LargeWebApiUtf8JsonHttpWebRequest;100;11023.6;11288.5;609.375;359.375;78.125;3482.26
LargeWebApiZeroFormatterHttpClient;100;10964.6;11333.5;765.625;343.75;46.875;3371.39
LargeWebApiZeroFormatterHttpClientAsync;100;11121.3;11440.2;765.625;406.25;46.875;3371.05
LargeWebApiZeroFormatterHttpWebRequest;100;7998.7;8812;734.375;328.125;46.875;3255.86
LargeAspNetCoreJsonNetHttpClient;100;21906.3;22576.2;468.75;250;31.25;3203.19
LargeAspNetCoreJsonNetHttpClientAsync;100;21717.5;22127;531.25;281.25;31.25;3202.07
LargeAspNetCoreJsonNetHttpWebRequest;100;18784.1;19337.5;406.25;187.5;0;2361.35
LargeAspNetCoreMessagePackHttpClient;100;8699.5;9226.8;281.25;156.25;31.25;2289.8
LargeAspNetCoreMessagePackHttpClientAsync;100;8882.4;9442.3;421.875;234.375;31.25;2292.26
LargeAspNetCoreMessagePackHttpWebRequest;100;6347.1;6514.6;273.4375;148.4375;23.4375;1986.16
LargeAspNetCoreMsgPackCliHttpClient;100;25200.5;26195.3;1625;406.25;0;8704.53
LargeAspNetCoreMsgPackCliHttpClientAsync;100;24995.5;25570.6;1593.75;312.5;0;8693.94
LargeAspNetCoreMsgPackCliHttpWebRequest;100;26311.1;27043.4;1218.75;468.75;0;6775.73
LargeAspNetCoreXmlHttpClient;100;25697.8;26587.6;437.5;218.75;31.25;2893.75
LargeAspNetCoreXmlHttpClientAsync;100;25770.5;26730.3;406.25;218.75;31.25;2892.88
LargeAspNetCoreXmlHttpWebRequest;100;20484.6;22693.2;312.5;156.25;0;2105.34
LargeAspNetCoreUtf8JsonHttpClient;100;13273.5;13686.2;375;234.375;78.125;3663.91
